W0910 00:48:18.997952      33 genericapiserver.go:787] Skipping API autoscaling/v2beta1 because it has no resources.
W0910 00:48:18.997956      33 genericapiserver.go:787] Skipping API autoscaling/v2beta2 because it has no resources.
I0910 00:48:18.999712      33 handler.go:304] Adding GroupVersion batch v1 to ResourceManager
W0910 00:48:18.999724      33 genericapiserver.go:787] Skipping API batch/v1beta1 because it has no resources.
I0910 00:48:19.000665      33 handler.go:304] Adding GroupVersion certificates.k8s.io v1 to ResourceManager
W0910 00:48:19.000679      33 genericapiserver.go:787] Skipping API certificates.k8s.io/v1beta1 because it has no resources.
W0910 00:48:19.000684      33 genericapiserver.go:787] Skipping API certificates.k8s.io/v1alpha1 because it has no resources.
I0910 00:48:19.001311      33 handler.go:304] Adding GroupVersion coordination.k8s.io v1 to ResourceManager
W0910 00:48:19.001322      33 genericapiserver.go:787] Skipping API coordination.k8s.io/v1beta1 because it has no resources.
W0910 00:48:19.001326      33 genericapiserver.go:787] Skipping API coordination.k8s.io/v1alpha2 because it has no resources.
I0910 00:48:19.001881      33 handler.go:304] Adding GroupVersion discovery.k8s.io v1 to ResourceManager
W0910 00:48:19.001892      33 genericapiserver.go:787] Skipping API discovery.k8s.io/v1beta1 because it has no resources.
I0910 00:48:19.005323      33 handler.go:304] Adding GroupVersion networking.k8s.io v1 to ResourceManager
W0910 00:48:19.005342      33 genericapiserver.go:787] Skipping API networking.k8s.io/v1beta1 because it has no resources.
I0910 00:48:19.005806      33 handler.go:304] Adding GroupVersion node.k8s.io v1 to ResourceManager
W0910 00:48:19.005817      33 genericapiserver.go:787] Skipping API node.k8s.io/v1beta1 because it has no resources.
